date,act,dur,isfull,isprod,minutes
2021-10-25,eat,0 days 01:12:00,0,2,72.0
2021-10-25,hobby,0 days 01:38:00,1,1,98.0
2021-10-25,leisure,0 days 01:12:00,0,0,72.0
2021-10-25,school,0 days 02:36:00,1,1,156.0
2021-10-25,sport,0 days 01:44:00,0,1,104.0
2021-10-25,study,0 days 02:58:00,1,1,178.0
2021-10-25,transport,0 days 03:45:00,0,2,225.0
2021-10-25,work,0 days 00:04:00,1,1,4.000000000000001
2021-10-26,chores,0 days 00:50:00,0,2,50.0
2021-10-26,eat,0 days 00:34:00,0,2,34.00000000000001
2021-10-26,leisure,0 days 03:07:00,0,0,187.0
2021-10-26,school,0 days 00:52:00,1,1,52.0
2021-10-26,sleep,0 days 00:30:00,1,0,30.0
2021-10-26,socio,0 days 03:23:00,0,0,203.0
2021-10-26,sport,0 days 01:54:00,0,1,114.0
2021-10-26,study,0 days 00:36:00,1,1,36.0
2021-10-26,transport,0 days 02:58:00,0,2,178.0
2021-10-27,chores,0 days 00:39:00,0,2,39.0
2021-10-27,eat,0 days 00:22:00,0,2,22.0
2021-10-27,leisure,0 days 04:55:00,0,0,295.0
2021-10-27,school,0 days 01:34:00,1,1,94.0
2021-10-27,sport,0 days 00:58:00,0,1,58.0
2021-10-27,study,0 days 03:28:00,1,1,208.0
2021-10-27,transport,0 days 00:48:00,0,2,48.0
2021-10-28,eat,0 days 00:15:00,0,2,15.0
2021-10-28,leisure,0 days 04:00:00,0,0,240.0
2021-10-28,school,0 days 00:43:00,1,1,43.0
2021-10-28,socio,0 days 02:13:00,0,0,133.00000000000003
2021-10-28,study,0 days 02:18:00,1,1,138.0
2021-10-28,transport,0 days 01:56:00,0,2,116.0
2021-10-29,chores,0 days 00:55:00,0,2,55.0
2021-10-29,eat,0 days 00:24:00,0,2,24.0
2021-10-29,hobby,0 days 00:30:00,1,1,30.0
2021-10-29,leisure,0 days 03:49:00,0,0,229.0
2021-10-29,school,0 days 04:04:00,1,1,244.00000000000003
2021-10-29,socio,0 days 04:10:00,0,0,250.00000000000003
2021-10-29,study,0 days 00:37:00,1,1,37.0
2021-10-29,transport,0 days 02:58:00,0,2,178.0
2021-10-30,chores,0 days 00:30:00,0,2,30.0
2021-10-30,eat,0 days 00:18:00,0,2,18.0
2021-10-30,leisure,0 days 01:06:00,0,0,66.00000000000001
2021-10-30,school,0 days 02:06:00,1,1,126.00000000000001
2021-10-30,socio,0 days 05:35:00,0,0,335.0
2021-10-30,study,0 days 01:46:00,1,1,106.0
2021-10-30,transport,0 days 01:51:00,0,2,111.0
2021-10-30,work,0 days 02:22:00,1,1,142.0
2021-10-31,eat,0 days 00:35:00,0,2,35.0
2021-10-31,leisure,0 days 03:22:00,0,0,202.0
2021-10-31,sleep,0 days 02:50:00,1,0,170.0
2021-10-31,socio,0 days 00:00:00,0,0,0.0
2021-10-31,study,0 days 03:39:00,1,1,219.0
2021-10-31,transport,0 days 00:42:00,0,2,42.0
2021-10-31,work,0 days 04:03:00,1,1,243.0
2021-11-01,eat,0 days 00:40:00,0,2,40.0
2021-11-01,leisure,0 days 01:48:00,0,0,108.0
2021-11-01,school,0 days 01:27:00,1,1,87.0
2021-11-01,socio,0 days 05:46:00,0,0,346.0
2021-11-01,study,0 days 05:01:00,1,1,301.0
2021-11-01,transport,0 days 03:59:00,0,2,239.0
2021-11-02,chores,0 days 00:30:00,0,2,30.0
2021-11-02,eat,0 days 01:11:00,0,2,71.0
2021-11-02,leisure,0 days 00:44:00,0,0,44.0
2021-11-02,school,0 days 02:28:00,1,1,148.0
2021-11-02,sport,0 days 02:00:00,0,1,120.0
2021-11-02,study,0 days 00:30:00,1,1,30.0
2021-11-02,transport,0 days 04:26:00,0,2,266.00000000000006
2021-11-02,work,0 days 00:11:00,1,1,11.0
2021-11-03,chores,0 days 00:29:00,0,2,29.0
2021-11-03,eat,0 days 00:39:00,0,2,39.0
2021-11-03,leisure,0 days 00:42:00,0,0,42.0
2021-11-03,school,0 days 03:52:00,1,1,232.0
2021-11-03,socio,0 days 00:40:00,0,0,40.0
2021-11-03,study,0 days 00:36:00,1,1,36.0
2021-11-03,transport,0 days 01:13:00,0,2,73.0
2021-11-03,work,0 days 05:46:00,1,1,346.0
2021-11-04,hobby,0 days 01:30:00,1,1,90.0
2021-11-04,leisure,0 days 05:31:00,0,0,331.0
2021-11-04,sleep,0 days 01:00:00,1,0,60.0
2021-11-04,socio,0 days 05:30:00,0,0,330.0
2021-11-04,study,0 days 00:16:00,1,1,16.000000000000004
2021-11-05,eat,0 days 00:50:00,0,2,50.0
2021-11-05,leisure,0 days 01:54:00,0,0,114.0
2021-11-05,school,0 days 01:27:00,1,1,87.0
2021-11-05,study,0 days 07:43:00,1,1,463.0
2021-11-05,transport,0 days 00:46:00,0,2,46.0
2021-11-06,chores,0 days 01:12:00,0,2,72.0
2021-11-06,leisure,0 days 02:04:00,0,0,124.00000000000001
2021-11-06,socio,0 days 08:40:00,0,0,520.0000000000001
2021-11-06,study,0 days 01:29:00,1,1,89.0
2021-11-06,transport,0 days 03:57:00,0,2,237.0
2021-11-06,work,0 days 00:08:00,1,1,8.000000000000002
2021-11-07,chores,0 days 00:30:00,0,2,30.0
2021-11-07,eat,0 days 00:28:00,0,2,28.0
2021-11-07,hobby,0 days 00:18:00,1,1,18.0
2021-11-07,leisure,0 days 01:36:00,0,0,96.0
2021-11-07,sleep,0 days 01:14:00,1,0,74.0
2021-11-07,socio,0 days 01:51:00,0,0,111.0
2021-11-07,study,0 days 01:19:00,1,1,79.0
2021-11-07,transport,0 days 00:19:00,0,2,19.0
2021-11-07,work,0 days 07:21:00,1,1,441.0
2021-11-08,eat,0 days 01:00:00,0,2,60.0
2021-11-08,leisure,0 days 01:15:00,0,0,75.0
2021-11-08,school,0 days 02:23:00,1,1,143.0
2021-11-08,sleep,0 days 02:01:00,1,0,121.0
2021-11-08,sport,0 days 01:19:00,0,1,79.0
2021-11-08,study,0 days 04:23:00,1,1,263.00000000000006
2021-11-08,transport,0 days 02:51:00,0,2,171.0
2021-11-09,chores,0 days 00:58:00,0,2,58.0
2021-11-09,eat,0 days 00:27:00,0,2,27.0
2021-11-09,hobby,0 days 00:43:00,1,1,43.0
2021-11-09,leisure,0 days 03:02:00,0,0,182.0
2021-11-09,school,0 days 01:14:00,1,1,74.0
2021-11-09,sleep,0 days 00:55:00,1,0,55.0
2021-11-09,socio,0 days 01:07:00,0,0,67.00000000000001
2021-11-09,sport,0 days 01:55:00,0,1,115.0
2021-11-09,study,0 days 03:16:00,1,1,196.0
2021-11-09,transport,0 days 00:45:00,0,2,45.0
2021-11-10,chores,0 days 00:20:00,0,2,20.0
2021-11-10,eat,0 days 00:37:00,0,2,37.0
2021-11-10,hobby,0 days 00:12:00,1,1,12.0
2021-11-10,leisure,0 days 01:14:00,0,0,74.0
2021-11-10,school,0 days 02:16:00,1,1,136.00000000000003
2021-11-10,socio,0 days 06:54:00,0,0,414.0
2021-11-10,study,0 days 00:58:00,1,1,58.0
2021-11-10,transport,0 days 01:54:00,0,2,114.0
2021-11-10,work,0 days 03:27:00,1,1,207.0
2021-11-11,chores,0 days 00:35:00,0,2,35.0
2021-11-11,eat,0 days 00:17:00,0,2,17.000000000000004
2021-11-11,hobby,0 days 00:18:00,1,1,18.0
2021-11-11,leisure,0 days 02:05:00,0,0,125.00000000000001
2021-11-11,school,0 days 03:09:00,1,1,189.0
2021-11-11,sleep,0 days 03:19:00,1,0,199.0
2021-11-11,study,0 days 05:06:00,1,1,306.0
2021-11-11,transport,0 days 02:08:00,0,2,128.00000000000003
2021-11-12,eat,0 days 00:22:00,0,2,22.0
2021-11-12,hobby,0 days 00:14:00,1,1,14.0
2021-11-12,leisure,0 days 04:04:00,0,0,244.00000000000003
2021-11-12,school,0 days 01:59:00,1,1,119.0
2021-11-12,socio,0 days 01:55:00,0,0,115.0
2021-11-12,study,0 days 04:09:00,1,1,249.00000000000003
2021-11-12,transport,0 days 02:45:00,0,2,165.0
2021-11-13,leisure,0 days 01:20:00,0,0,80.0
2021-11-13,school,0 days 01:32:00,1,1,92.0
2021-11-13,socio,0 days 03:22:00,0,0,202.0
2021-11-13,study,0 days 05:41:00,1,1,341.0
2021-11-13,transport,0 days 03:00:00,0,2,180.0
2021-11-13,work,0 days 00:51:00,1,1,51.0
2021-11-14,eat,0 days 00:24:00,0,2,24.0
2021-11-14,leisure,0 days 00:49:00,0,0,49.0
2021-11-14,socio,0 days 03:21:00,0,0,201.0
2021-11-14,study,0 days 05:16:00,1,1,316.0
2021-11-14,transport,0 days 04:08:00,0,2,248.00000000000003
2021-11-14,work,0 days 02:49:00,1,1,169.0
2021-11-15,chores,0 days 00:33:00,0,2,33.00000000000001
2021-11-15,eat,0 days 00:45:00,0,2,45.0
2021-11-15,hobby,0 days 00:11:00,1,1,11.0
2021-11-15,leisure,0 days 02:53:00,0,0,173.0
2021-11-15,school,0 days 01:09:00,1,1,69.0
2021-11-15,sleep,0 days 00:01:00,1,0,1.0000000000000002
2021-11-15,socio,0 days 03:28:00,0,0,208.0
2021-11-15,sport,0 days 02:17:00,0,1,137.0
2021-11-15,study,0 days 01:20:00,1,1,80.0
2021-11-15,transport,0 days 02:36:00,0,2,156.0
2021-11-16,chores,0 days 00:37:00,0,2,37.0
2021-11-16,eat,0 days 00:25:00,0,2,25.0
2021-11-16,hobby,0 days 00:10:00,1,1,10.0
2021-11-16,leisure,0 days 03:37:00,0,0,217.0
2021-11-16,school,0 days 02:04:00,1,1,124.00000000000001
2021-11-16,socio,0 days 03:02:00,0,0,182.0
2021-11-16,sport,0 days 01:36:00,0,1,96.0
2021-11-16,study,0 days 00:29:00,1,1,29.0
2021-11-16,transport,0 days 01:01:00,0,2,61.00000000000001
2021-11-17,chores,0 days 00:05:00,0,2,5.0
2021-11-17,eat,0 days 00:42:00,0,2,42.0
2021-11-17,hobby,0 days 00:23:00,1,1,23.0
2021-11-17,leisure,0 days 00:25:00,0,0,25.0
2021-11-17,school,0 days 03:01:00,1,1,181.0
2021-11-17,socio,0 days 01:58:00,0,0,118.0
2021-11-17,study,0 days 04:17:00,1,1,257.00000000000006
2021-11-17,transport,0 days 02:39:00,0,2,159.0
2021-11-18,chores,0 days 00:04:00,0,2,4.000000000000001
2021-11-18,eat,0 days 00:20:00,0,2,20.0
2021-11-18,hobby,0 days 02:38:00,1,1,158.0
2021-11-18,leisure,0 days 01:45:00,0,0,105.0
2021-11-18,school,0 days 03:04:00,1,1,184.0
2021-11-18,socio,0 days 03:58:00,0,0,238.0
2021-11-18,study,0 days 02:50:00,1,1,170.0
2021-11-18,transport,0 days 02:42:00,0,2,162.0
2021-11-19,chores,0 days 00:53:00,0,2,53.0
2021-11-19,eat,0 days 00:33:00,0,2,33.00000000000001
2021-11-19,hobby,0 days 00:46:00,1,1,46.0
2021-11-19,leisure,0 days 03:29:00,0,0,209.0
2021-11-19,socio,0 days 03:07:00,0,0,187.0
2021-11-19,sport,0 days 00:13:00,0,1,13.0
2021-11-19,study,0 days 03:41:00,1,1,221.0
2021-11-19,transport,0 days 00:07:00,0,2,7.0
2021-11-20,chores,0 days 00:14:00,0,2,14.0
2021-11-20,eat,0 days 00:27:00,0,2,27.0
2021-11-20,hobby,0 days 01:04:00,1,1,64.00000000000001
2021-11-20,leisure,0 days 00:37:00,0,0,37.0
2021-11-20,sleep,0 days 00:30:00,1,0,30.0
2021-11-20,socio,0 days 06:43:00,0,0,403.0
2021-11-20,study,0 days 00:04:00,1,1,4.000000000000001
2021-11-20,transport,0 days 05:15:00,0,2,315.0
2021-11-21,chores,0 days 00:17:00,0,2,17.000000000000004
2021-11-21,eat,0 days 00:33:00,0,2,33.00000000000001
2021-11-21,hobby,0 days 05:59:00,1,1,359.0
2021-11-21,leisure,0 days 00:26:00,0,0,26.0
2021-11-21,socio,0 days 01:38:00,0,0,98.0
2021-11-21,study,0 days 00:49:00,1,1,49.0
2021-11-21,transport,0 days 01:05:00,0,2,65.00000000000001
2021-11-21,work,0 days 04:30:00,1,1,270.00000000000006
2021-11-22,chores,0 days 00:35:00,0,2,35.0
2021-11-22,eat,0 days 00:38:00,0,2,38.0
2021-11-22,hobby,0 days 03:56:00,1,1,236.0
2021-11-22,leisure,0 days 01:39:00,0,0,99.0
2021-11-22,socio,0 days 01:24:00,0,0,84.0
2021-11-22,study,0 days 00:19:00,1,1,19.0
2021-11-22,transport,0 days 01:52:00,0,2,112.0
2021-11-23,chores,0 days 00:29:00,0,2,29.0
2021-11-23,eat,0 days 00:42:00,0,2,42.0
2021-11-23,hobby,0 days 06:00:00,1,1,360.0
2021-11-23,leisure,0 days 00:53:00,0,0,53.0
2021-11-23,school,0 days 01:34:00,1,1,94.0
2021-11-23,socio,0 days 02:34:00,0,0,154.0
2021-11-23,study,0 days 00:14:00,1,1,14.0
2021-11-23,transport,0 days 03:31:00,0,2,211.0
2021-11-24,chores,0 days 00:27:00,0,2,27.0
2021-11-24,eat,0 days 00:12:00,0,2,12.0
2021-11-24,leisure,0 days 03:04:00,0,0,184.0
2021-11-24,school,0 days 04:20:00,1,1,260.00000000000006
2021-11-24,sleep,0 days 02:15:00,1,0,135.00000000000003
2021-11-24,socio,0 days 02:07:00,0,0,127.00000000000001
2021-11-24,study,0 days 02:07:00,1,1,127.00000000000001
2021-11-24,transport,0 days 02:02:00,0,2,122.00000000000001
2021-11-25,chores,0 days 00:20:00,0,2,20.0
2021-11-25,eat,0 days 00:44:00,0,2,44.0
2021-11-25,hobby,0 days 02:20:00,1,1,140.0
2021-11-25,leisure,0 days 01:20:00,0,0,80.0
2021-11-25,school,0 days 01:54:00,1,1,114.0
2021-11-25,socio,0 days 01:59:00,0,0,119.0
2021-11-25,study,0 days 03:27:00,1,1,207.0
2021-11-25,transport,0 days 01:38:00,0,2,98.0
2021-11-25,work,0 days 00:02:00,1,1,2.0000000000000004
2021-11-26,hobby,0 days 01:28:00,1,1,88.0
2021-11-27,chores,0 days 01:46:00,0,2,106.0
2021-11-27,eat,0 days 00:24:00,0,2,24.0
2021-11-27,hobby,0 days 00:59:00,1,1,59.0
2021-11-27,leisure,0 days 01:35:00,0,0,95.0
2021-11-27,socio,0 days 05:16:00,0,0,316.0
2021-11-27,study,0 days 00:12:00,1,1,12.0
2021-11-27,transport,0 days 01:06:00,0,2,66.00000000000001
2021-11-27,work,0 days 03:13:00,1,1,193.0
2021-11-28,chores,0 days 01:07:00,0,2,67.00000000000001
2021-11-28,eat,0 days 01:08:00,0,2,68.00000000000001
2021-11-28,leisure,0 days 02:28:00,0,0,148.0
2021-11-28,school,0 days 03:25:00,1,1,205.0
2021-11-28,socio,0 days 00:11:00,0,0,11.0
2021-11-28,study,0 days 00:51:00,1,1,51.0
2021-11-28,transport,0 days 00:13:00,0,2,13.0
2021-11-28,work,0 days 01:52:00,1,1,112.0
2021-11-29,chores,0 days 00:07:00,0,2,7.0
2021-11-29,eat,0 days 00:32:00,0,2,32.00000000000001
2021-11-29,hobby,0 days 03:13:00,1,1,193.0
2021-11-29,leisure,0 days 00:32:00,0,0,32.00000000000001
2021-11-29,school,0 days 03:10:00,1,1,190.0
2021-11-29,socio,0 days 01:18:00,0,0,78.0
2021-11-29,sport,0 days 01:23:00,0,1,83.0
2021-11-29,study,0 days 03:30:00,1,1,210.0
2021-11-29,transport,0 days 02:36:00,0,2,156.0
2021-11-30,chores,0 days 01:30:00,0,2,90.0
2021-11-30,eat,0 days 00:46:00,0,2,46.0
2021-11-30,hobby,0 days 00:15:00,1,1,15.0
2021-11-30,leisure,0 days 02:18:00,0,0,138.0
2021-11-30,school,0 days 00:12:00,1,1,12.0
2021-11-30,socio,0 days 02:10:00,0,0,130.00000000000003
2021-11-30,study,0 days 01:38:00,1,1,98.0
2021-11-30,transport,0 days 02:12:00,0,2,132.00000000000003
2021-11-30,work,0 days 02:35:00,1,1,155.0
2021-12-01,chores,0 days 00:27:00,0,2,27.0
2021-12-01,eat,0 days 01:34:00,0,2,94.0
2021-12-01,leisure,0 days 01:41:00,0,0,101.0
2021-12-01,school,0 days 05:49:00,1,1,349.0
2021-12-01,socio,0 days 03:07:00,0,0,187.0
2021-12-01,sport,0 days 00:05:00,0,1,5.0
2021-12-01,study,0 days 01:54:00,1,1,114.0
2021-12-01,transport,0 days 00:30:00,0,2,30.0
2021-12-02,chores,0 days 00:22:00,0,2,22.0
2021-12-02,eat,0 days 00:58:00,0,2,58.0
2021-12-02,hobby,0 days 02:09:00,1,1,129.00000000000003
2021-12-02,leisure,0 days 02:07:00,0,0,127.00000000000001
2021-12-02,school,0 days 04:18:00,1,1,258.00000000000006
2021-12-02,study,0 days 02:32:00,1,1,152.0
2021-12-02,transport,0 days 03:40:00,0,2,220.0
2021-12-03,eat,0 days 00:29:00,0,2,29.0
2021-12-03,leisure,0 days 01:48:00,0,0,108.0
2021-12-03,school,0 days 01:05:00,1,1,65.00000000000001
2021-12-03,socio,0 days 04:22:00,0,0,262.00000000000006
2021-12-03,study,0 days 03:26:00,1,1,206.0
2021-12-03,transport,0 days 02:38:00,0,2,158.0
2021-12-04,chores,0 days 02:33:00,0,2,153.0
2021-12-04,eat,0 days 00:32:00,0,2,32.00000000000001
2021-12-04,hobby,0 days 00:30:00,1,1,30.0
2021-12-04,leisure,0 days 03:26:00,0,0,206.0
2021-12-04,school,0 days 00:17:00,1,1,17.000000000000004
2021-12-04,socio,0 days 02:12:00,0,0,132.00000000000003
2021-12-04,study,0 days 00:35:00,1,1,35.0
2021-12-04,transport,0 days 02:17:00,0,2,137.0
2021-12-04,work,0 days 00:28:00,1,1,28.0
2021-12-05,chores,0 days 00:30:00,0,2,30.0
2021-12-05,eat,0 days 00:22:00,0,2,22.0
2021-12-05,leisure,0 days 03:17:00,0,0,197.0
2021-12-05,socio,0 days 03:27:00,0,0,207.0
2021-12-05,sport,0 days 01:15:00,0,1,75.0
2021-12-05,study,0 days 02:31:00,1,1,151.0
2021-12-05,transport,0 days 04:04:00,0,2,244.00000000000003
2021-12-05,work,0 days 00:07:00,1,1,7.0
2021-12-06,chores,0 days 01:30:00,0,2,90.0
2021-12-06,eat,0 days 00:30:00,0,2,30.0
2021-12-06,hobby,0 days 00:57:00,1,1,57.0
2021-12-06,leisure,0 days 03:02:00,0,0,182.0
2021-12-06,school,0 days 02:37:00,1,1,157.0
2021-12-06,socio,0 days 02:18:00,0,0,138.0
2021-12-06,study,0 days 01:31:00,1,1,91.0
2021-12-06,transport,0 days 00:20:00,0,2,20.0
2021-12-06,work,0 days 01:19:00,1,1,79.0
2021-12-07,chores,0 days 00:24:00,0,2,24.0
2021-12-07,eat,0 days 00:46:00,0,2,46.0
2021-12-07,hobby,0 days 00:33:00,1,1,33.00000000000001
2021-12-07,leisure,0 days 02:12:00,0,0,132.00000000000003
2021-12-07,school,0 days 01:08:00,1,1,68.00000000000001
2021-12-07,socio,0 days 01:12:00,0,0,72.0
2021-12-07,sport,0 days 01:48:00,0,1,108.0
2021-12-07,study,0 days 00:50:00,1,1,50.0
2021-12-07,transport,0 days 00:23:00,0,2,23.0
2021-12-07,work,0 days 05:22:00,1,1,322.0
2021-12-08,chores,0 days 01:11:00,0,2,71.0
2021-12-08,eat,0 days 00:07:00,0,2,7.0
2021-12-08,leisure,0 days 01:51:00,0,0,111.0
2021-12-08,school,0 days 01:49:00,1,1,109.0
2021-12-08,socio,0 days 04:44:00,0,0,284.0
2021-12-08,transport,0 days 02:47:00,0,2,167.0
2021-12-08,work,0 days 02:43:00,1,1,163.0
2021-12-09,chores,0 days 00:32:00,0,2,32.00000000000001
2021-12-09,eat,0 days 00:40:00,0,2,40.0
2021-12-09,hobby,0 days 00:11:00,1,1,11.0
2021-12-09,leisure,0 days 04:56:00,0,0,296.0
2021-12-09,socio,0 days 03:32:00,0,0,212.0
2021-12-09,study,0 days 01:01:00,1,1,61.00000000000001
2021-12-09,transport,0 days 03:14:00,0,2,194.0
2021-12-09,work,0 days 00:09:00,1,1,9.0
2021-12-10,chores,0 days 00:36:00,0,2,36.0
2021-12-10,eat,0 days 00:12:00,0,2,12.0
2021-12-10,leisure,0 days 04:51:00,0,0,291.0
2021-12-10,school,0 days 01:43:00,1,1,103.0
2021-12-10,socio,0 days 02:45:00,0,0,165.0
2021-12-10,study,0 days 00:03:00,1,1,3.0
2021-12-10,transport,0 days 02:46:00,0,2,166.0
2021-12-10,work,0 days 05:45:00,1,1,345.0
2021-12-11,chores,0 days 00:05:00,0,2,5.0
2021-12-11,eat,0 days 00:31:00,0,2,31.000000000000004
2021-12-11,hobby,0 days 00:03:00,1,1,3.0
2021-12-11,leisure,0 days 01:43:00,0,0,103.0
2021-12-11,school,0 days 01:29:00,1,1,89.0
2021-12-11,socio,0 days 04:07:00,0,0,247.00000000000003
2021-12-11,sport,0 days 00:03:00,0,1,3.0
2021-12-11,study,0 days 00:11:00,1,1,11.0
2021-12-11,transport,0 days 02:04:00,0,2,124.00000000000001
2021-12-11,work,0 days 04:37:00,1,1,277.0
2021-12-12,chores,0 days 00:53:00,0,2,53.0
2021-12-12,eat,0 days 00:37:00,0,2,37.0
2021-12-12,hobby,0 days 00:21:00,1,1,21.0
2021-12-12,leisure,0 days 01:49:00,0,0,109.0
2021-12-12,socio,0 days 01:05:00,0,0,65.00000000000001
2021-12-12,sport,0 days 00:43:00,0,1,43.0
2021-12-12,study,0 days 02:15:00,1,1,135.00000000000003
2021-12-12,transport,0 days 00:08:00,0,2,8.000000000000002
2021-12-12,work,0 days 05:41:00,1,1,341.0
2021-12-13,chores,0 days 00:46:00,0,2,46.0
2021-12-13,eat,0 days 01:33:00,0,2,93.0
2021-12-13,hobby,0 days 00:45:00,1,1,45.0
2021-12-13,leisure,0 days 00:16:00,0,0,16.000000000000004
2021-12-13,school,0 days 00:24:00,1,1,24.0
2021-12-13,socio,0 days 00:32:00,0,0,32.00000000000001
